X,Y,Color
-156.0,0.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-156.0,28.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-156.0,40.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-156.0,48.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-152.0,0.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-152.0,44.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-148.0,-32.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-148.0,12.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-148.0,44.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-144.0,0.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-144.0,4.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-144.0,24.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-144.0,40.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-140.0,-8.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-140.0,0.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-140.0,8.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-140.0,12.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-140.0,16.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-136.0,-16.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-136.0,-12.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-136.0,-4.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-136.0,0.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-136.0,4.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-136.0,8.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-136.0,12.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-136.0,24.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-132.0,-24.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-132.0,-20.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-132.0,-4.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-132.0,0.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-132.0,4.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-132.0,8.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-132.0,24.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-128.0,-36.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-128.0,-32.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-128.0,-28.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-128.0,-20.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-128.0,-16.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-128.0,-8.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-128.0,-4.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-128.0,0.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-128.0,4.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-128.0,8.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-128.0,12.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-128.0,16.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-128.0,20.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-124.0,-40.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-124.0,-32.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-124.0,-28.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-124.0,-24.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-124.0,-20.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-124.0,-16.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-124.0,-12.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-124.0,-8.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-124.0,-4.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-124.0,0.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-124.0,4.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-124.0,8.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-124.0,12.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-120.0,-40.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-120.0,-36.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-120.0,-32.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-120.0,-28.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-120.0,-24.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-120.0,-20.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-120.0,-16.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-120.0,-12.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-120.0,-8.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-120.0,-4.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-120.0,0.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-120.0,4.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-120.0,8.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-120.0,16.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-116.0,-76.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-116.0,-56.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-116.0,-48.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-116.0,-40.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-116.0,-36.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-116.0,-32.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
